Wall time,Step,Value
1571054304.4551444,9,2.1858301162719727
1571054304.539889,19,2.2580277919769287
1571054304.627719,29,2.2541894912719727
1571054304.7028627,39,2.0801095962524414
1571054304.752061,49,1.9994055032730103
1571054304.807414,59,2.001215696334839
1571054304.8638966,69,1.9773088693618774
1571054304.9315312,79,1.9549369812011719
1571054305.0413542,89,2.100827217102051
1571054305.1837418,99,1.884368658065796
1571054305.3503308,109,1.9449654817581177
1571054305.4465444,119,1.812091588973999
1571054305.5808039,129,1.8832134008407593
1571054305.760492,139,1.906733751296997
1571054305.902611,149,1.8971648216247559
1571054306.1128132,159,1.8326642513275146
1571054306.2925565,169,1.7472296953201294
1571054306.493554,179,1.9079183340072632
1571054306.7149003,189,1.7810962200164795
1571054306.9492693,199,1.8264275789260864
1571054307.115909,209,1.8308067321777344
1571054307.3087642,219,1.8646904230117798
1571054307.4156432,229,1.7689533233642578
1571054307.5519342,239,1.8131375312805176
1571054307.6579807,249,1.6825722455978394
1571054307.7641578,259,1.8402836322784424
1571054307.8751733,269,1.716450572013855
1571054307.9665523,279,1.8170795440673828
1571054308.0615687,289,1.7190232276916504
1571054308.1805499,299,1.6694648265838623
1571054308.3157234,309,1.6374294757843018
1571054308.4175408,319,1.7491860389709473
1571054308.4950507,329,1.6972578763961792
1571054308.5533595,339,1.5855474472045898
1571054308.6050148,349,1.6855671405792236
1571054308.652558,359,1.7666926383972168
1571054308.7000873,369,1.6516190767288208
1571054308.7475379,379,1.9157755374908447
1571054308.7950792,389,1.565406322479248
1571054309.8902302,399,1.654124140739441
1571054310.042579,409,1.4735218286514282
1571054310.1901424,419,1.6954548358917236
1571054310.2403564,429,1.7101155519485474
1571054310.3152938,439,1.6391648054122925
1571054310.4014568,449,1.6928421258926392
1571054310.492013,459,1.8704004287719727
1571054310.7298656,469,1.487991213798523
1571054310.9355373,479,1.565015196800232
1571054311.0520341,489,1.5979931354522705
1571054311.1470451,499,1.7842463254928589
1571054311.2829902,509,1.444239854812622
1571054311.4180431,519,1.647932767868042
1571054311.5591743,529,1.4916346073150635
1571054311.7197092,539,1.6026545763015747
1571054311.828073,549,1.676177978515625
1571054311.9604297,559,1.5853701829910278
1571054312.0950663,569,1.597315788269043
1571054312.1705759,579,1.5536247491836548
1571054312.3184843,589,1.5670942068099976
1571054312.4314609,599,1.5083544254302979
1571054312.5833583,609,1.4763203859329224
1571054312.7251198,619,1.7769221067428589
1571054312.8686187,629,1.5787365436553955
1571054313.017772,639,1.6239571571350098
1571054313.161264,649,1.6346054077148438
1571054313.2655332,659,1.5588710308074951
1571054313.4113696,669,1.4422078132629395
1571054313.5131536,679,1.453471302986145
1571054313.6092873,689,1.372106909751892
1571054313.704407,699,1.4556931257247925
1571054313.9004607,709,1.5955432653427124
1571054314.0438035,719,1.5047487020492554
1571054314.1678467,729,1.4303950071334839
1571054314.2268665,739,1.4690316915512085
1571054314.2836463,749,1.6322205066680908
1571054314.3379643,759,1.5455348491668701
1571054314.3865798,769,1.600203037261963
1571054314.4340577,779,1.5619362592697144
1571054316.9219067,789,1.3558838367462158
1571054317.0339284,799,1.4482680559158325
